22;2913.56;98116.89
47;2915.49;98110.77
70;2916.47;98117.46
95;2918.22;98112.71
118;2919.34;98110.13
143;2920.61;98118.85
166;2921.69;98111.97
191;2922.41;98104.33
215;2923.39;98105.69
239;2923.97;98109.41
264;2925.17;98113.36
287;2925.30;98110.80
312;2926.07;98109.63
335;2926.17;98114.42
360;2926.73;98114.53
384;2927.07;98104.69
408;2927.82;98108.05
433;2928.37;98110.63
456;2928.24;98111.05
481;2928.85;98110.60
504;2928.98;98109.47
529;2929.19;98107.78
552;2929.38;98108.21
577;2929.54;98112.42
602;2929.83;98113.38
625;2930.49;98107.72
650;2930.33;98114.80
673;2930.39;98105.39
698;2930.31;98105.22
721;2930.57;98110.74
746;2930.65;98111.60
771;2930.94;98112.22
794;2931.10;98112.91
819;2931.21;98109.27
842;2931.18;98108.83
867;2931.31;98111.25
890;2931.00;98107.02
915;2931.16;98108.44
940;2931.08;98111.10
963;2931.24;98112.49
988;2931.61;98112.55
1011;2931.18;98104.61
1036;2931.24;98109.33
1060;2931.13;98109.07
1084;2931.26;98107.61
1108;2931.29;98108.35
1132;2931.37;98111.00
1157;2931.61;98109.39
1181;2931.16;98107.03
1205;2931.26;98109.36
1229;2931.53;98111.32
1254;2931.61;98109.05
1277;2931.53;98114.50
1302;2931.10;98108.32
1326;2931.31;98109.13
1350;2931.24;98108.27
1375;2931.47;98107.36
1398;2931.53;98113.44
1423;2931.24;98107.89
1446;2931.29;98110.47
1471;2931.16;98112.32
1496;2931.13;98113.66
1519;2931.66;98114.80
1544;2931.39;98106.80
1568;2931.29;98114.00
1592;2931.45;98104.83
1616;2931.39;98117.05
1640;2931.53;98109.22
1665;2931.45;98110.11
1689;2931.37;98115.25
1713;2931.31;98111.60
1737;2931.63;98107.67
1761;2931.13;98113.32
1785;2931.08;98105.78
1810;2931.98;98119.69
1833;2931.45;98109.05
1858;2931.63;98102.02
1883;2931.55;98113.16
1906;2931.50;98104.94
1931;2931.42;98113.58
1954;2931.77;98107.60
1979;2931.74;98112.85
2003;2931.42;98114.99
2027;2931.61;98105.86
2052;2931.66;98113.02
2075;2931.77;98110.07
2100;2931.79;98106.25
2124;2932.03;98109.21
2148;2931.74;98106.16
2172;2931.71;98104.32
2197;2931.66;98104.92
2221;2931.79;98103.78
2245;2932.22;98104.00
2269;2932.14;98110.16
2293;2932.22;98108.94
2318;2932.06;98101.86
2341;2932.16;98104.22
2366;2932.30;98109.08
2390;2932.00;98106.38
2414;2932.08;98109.71
2439;2932.22;98113.88
2462;2931.92;98105.13
2487;2932.45;98105.17
2511;2932.67;98104.24
2535;2932.11;98104.83
2560;2932.30;98101.67
2583;2932.59;98106.19
2608;2932.48;98108.77
2632;2932.35;98114.50
2656;2932.51;98104.61
2680;2932.48;98114.42
2705;2932.80;98115.10
2728;2932.40;98111.10
2753;2932.61;98116.13
2777;2932.43;98105.83
2801;2932.88;98114.55
2826;2932.51;98105.33
2849;2932.56;98109.63
2874;2932.53;98112.07
2897;2932.45;98111.55
2922;2932.75;98109.69
2947;2932.40;98093.82
2970;2932.80;98106.97
2995;2932.56;98113.88
3019;2932.72;98105.77
3043;2932.45;98112.96
3067;2932.83;98114.10
3091;2932.69;98106.05
3116;2932.45;98107.30
3140;2932.83;98114.10
3164;2932.77;98113.63
3188;2932.85;98108.14
3212;2932.85;98111.67
3236;2932.77;98112.22
3261;2932.85;98109.89
3284;2932.90;98114.27
3309;2932.32;98110.91
3334;2932.80;98111.91
3357;2932.37;98107.50
3382;2932.90;98108.99
3405;2932.69;98106.05
3430;2932.53;98111.35
3454;2932.56;98100.82
3478;2932.48;98110.55
3503;2932.19;98115.22
3527;2932.53;98100.44
3551;2932.61;98111.53
3575;2932.56;98113.88
3599;2932.43;98107.24
3623;2932.48;98113.36
3648;2932.90;98108.64
3672;2932.61;98108.00
3696;2932.61;98109.07
3720;2932.53;98109.94
3744;2932.48;98114.77
3769;2932.40;98106.50
3792;2932.53;98109.25
3817;2932.16;98113.72
3842;2932.75;98106.50
3865;2932.27;98104.11
3890;2932.43;98111.11
3913;2932.40;98104.75
3938;2932.32;98113.38
3962;2932.37;98109.63
3986;2932.30;98114.36
4011;2932.30;98111.55
4035;2932.14;98107.00
4059;2932.32;98118.66
4083;2932.06;98110.33
4107;2932.27;98104.46
4131;2932.06;98108.24
4156;2931.92;98107.94
4179;2932.35;98109.19
4204;2932.32;98111.25
4229;2932.37;98111.38
4252;2932.40;98108.28
4277;2932.16;98109.50
4300;2932.30;98109.42
4325;2931.92;98111.47
4349;2931.92;98110.41
4373;2932.08;98111.46
4398;2932.37;98105.38
4421;2931.84;98107.08
4446;2931.79;98104.13
4470;2932.00;98110.25
4494;2932.27;98107.99
4518;2931.74;98110.38
4542;2931.95;98112.94
4567;2932.11;98109.05
4591;2931.84;98113.77
4615;2931.66;98112.67
