98473;429;897
98475;448;897
98476;428;897
98477;390;897
98478;393;897
98480;433;897
98481;428;897
98482;429;897
98484;393;897
98485;433;897
98486;390;897
98487;448;897
98489;390;897
98490;390;897
98491;428;897
98493;392;897
98494;433;897
98495;392;897
98496;429;897
98498;392;897
98499;390;897
98500;390;897
98502;392;897
98503;390;897
98504;429;897
98505;429;897
98507;428;897
98508;392;897
98509;390;897
98511;390;897
98512;391;897
98513;429;897
98514;448;897
98516;448;897
98517;392;897
98518;449;897
98520;393;897
98521;429;897
98522;394;897
98523;392;897
98525;393;897
98526;392;897
98527;392;897
98529;390;897
98530;433;897
98531;429;897
98532;390;897
98534;390;897
98535;448;897
98536;429;898
98538;428;897
98539;392;897
98540;393;897
98541;392;897
98543;390;897
98544;428;897
98545;433;897
98547;429;897
98548;428;897
98549;392;897
98550;392;897
98552;429;897
98553;390;897
98554;393;897
98556;390;897
98557;393;897
98558;390;897
98559;392;897
98561;433;897
98562;429;897
98563;390;897
98565;391;897
98566;448;897
98567;429;897
98568;449;897
98570;429;897
98571;390;897
98572;428;897
98574;429;897
98575;449;897
98576;448;897
98577;390;897
98579;392;897
98580;448;897
98581;449;897
98583;392;897
98584;390;897
98585;448;897
98586;428;897
98588;393;897
98589;393;897
98590;393;897
98592;393;897
98593;393;897
98594;393;897
98595;392;897
98597;429;897
98598;392;897
98599;393;897
98601;392;897
98602;428;897
98603;433;897
98604;428;897
98606;428;897
98607;393;897
98608;428;897
98610;390;897
98611;428;897
98612;392;897
98613;392;897
98615;429;897
98616;429;897
98617;390;897
98619;449;897
98620;433;897
98621;448;897
98622;448;898
98624;390;897
98625;428;897
98626;390;897
98628;390;897
98629;448;897
98630;428;897
98631;392;897
98633;429;897
98634;428;897
98635;449;897
98637;428;897
98638;390;897
98639;393;897
98640;392;897
98642;429;897
98643;428;897
98644;429;897
98646;390;897
98647;428;897
98648;428;897
98649;390;897
98651;390;897
98652;429;897
98653;389;897
98655;390;897
98656;429;897
98657;449;897
98658;392;897
98660;429;897
98661;449;897
98662;390;897
98664;428;897
98665;393;897
98666;428;897
98667;390;897
98669;429;897
98670;393;897
98671;448;897
98673;393;897
98674;428;897
98675;390;897
98676;393;897
98678;429;897
98679;390;897
98680;428;897
98682;428;897
98683;393;897
98684;448;897
98685;392;897
98687;393;897
98688;390;898
98689;428;897
98691;390;897
98692;390;897
98693;392;897
98694;390;897
