309670;897;260
309671;897;259
309672;897;260
309674;897;260
309675;897;260
309676;897;260
309678;897;260
309679;897;260
309681;897;260
309682;897;259
309683;872;260
309685;897;260
309686;897;260
309687;897;260
309689;897;260
309690;897;259
309692;872;260
309693;897;259
309694;897;260
309696;897;260
309697;897;260
309698;897;260
309700;897;260
309701;897;260
309702;897;260
309704;897;259
309705;897;260
309707;897;259
309708;897;260
309709;897;260
309711;897;259
309712;897;260
309713;897;259
309715;897;260
309716;897;259
309718;897;260
309719;897;259
309720;897;258
309722;897;259
309723;897;260
309724;897;260
309726;897;259
309727;897;260
309729;897;260
309730;897;259
309731;897;259
309733;897;259
309734;897;259
309735;897;260
309737;897;259
309738;897;259
